,Close,High,Low,Open,Volume
2016-06-17,0.00749751,0.00782791,0.00707591,0.00741845,1193.551541
2016-06-18,0.00736099,0.00752333,0.00725,0.0074654,605.0255912
2016-06-19,0.007278,0.00739747,0.00721101,0.007345,165.7879436
2016-06-20,0.00717934,0.00732536,0.0071351,0.00727799,197.6123969
2016-06-21,0.00727886,0.00747016,0.00699274,0.007178399999999999,570.9850574
2016-06-22,0.00665241,0.00737115,0.0061600000000000005,0.0073,1453.784629
2016-06-23,0.00620803,0.00675443,0.00617,0.0066819,1049.097416
2016-06-24,0.00646858,0.00669051,0.00618571,0.00620803,1049.950384
2016-06-25,0.00640482,0.00652663,0.00612,0.00646828,342.316172
2016-06-26,0.00645273,0.006538,0.00632664,0.0064048,346.8281249
2016-06-27,0.00636876,0.006530800000000001,0.00635386,0.0064939,170.9015882
2016-06-28,0.00633001,0.00645729,0.00624528,0.00636876,261.4172398
2016-06-29,0.006355,0.00647374,0.00626,0.00633001,214.1546139
2016-06-30,0.00625146,0.00639289,0.00620495,0.006355,173.3233375
2016-07-01,0.00632586,0.006390399999999999,0.00620373,0.00622179,233.8076547
2016-07-02,0.00661444,0.006858599999999999,0.00625547,0.00632599,824.6471062999997
2016-07-03,0.0065,0.0066339,0.0063522,0.00661444,530.0252945000002
2016-07-04,0.00667468,0.00673,0.00642222,0.0065,429.3780142
2016-07-05,0.00664594,0.00677238,0.00641507,0.00667465,417.6387688
2016-07-06,0.006640000000000001,0.00666642,0.006509999999999999,0.00661055,334.4461412
2016-07-07,0.00644,0.00667307,0.0063661,0.00660767,330.2922539
2016-07-08,0.00639741,0.00646955,0.0063,0.00646843,172.16053469999997
2016-07-09,0.00636626,0.00641792,0.006268500000000001,0.00641637,254.3126257
2016-07-10,0.00635556,0.00639999,0.0062809,0.00636626,121.16244679999998
2016-07-11,0.0063631,0.006409999999999999,0.0062802,0.00638056,147.1334584
2016-07-12,0.00629197,0.00637757,0.00625,0.00636303,99.08656276
2016-07-13,0.00633,0.00634997,0.00622581,0.00629503,81.51682218
2016-07-14,0.00630264,0.00635996,0.00628,0.00632,71.8666661
2016-07-15,0.006259000000000001,0.00634489,0.00623581,0.00630999,72.30553498
2016-07-16,0.00625333,0.00630543,0.006221,0.00627,104.0514809
2016-07-17,0.00618769,0.00627046,0.00615151,0.00627,142.63105190000005
2016-07-18,0.00618111,0.00622922,0.00614001,0.00618686,89.51249395
2016-07-19,0.00615168,0.00624763,0.00614,0.00618111,155.6379764
2016-07-20,0.00618281,0.00623923,0.00614239,0.00615265,107.4308357
2016-07-21,0.006220000000000001,0.00625573,0.0061754,0.00618334,44.19825116
2016-07-22,0.00619669,0.00624999,0.00612864,0.006220000000000001,192.9454053
2016-07-23,0.00616856,0.00622689,0.006,0.00619669,179.7278564
2016-07-24,0.00616895,0.00621,0.00609162,0.00617,182.1843706
2016-07-25,0.00615288,0.00621,0.0061,0.00615786,120.3646916
2016-07-26,0.00605001,0.00618002,0.005993600000000001,0.00617887,389.1794383
2016-07-27,0.00604359,0.00608058,0.00600096,0.0060569,314.3744432000001
2016-07-28,0.00604577,0.00607926,0.00601,0.00606317,26.60128937
2016-07-29,0.00623508,0.00628894,0.00601783,0.00605936,190.6599851
2016-07-30,0.00623493,0.00625628,0.00618,0.00621874,86.80733244
2016-07-31,0.00634961,0.00635691,0.00616073,0.00620192,259.4280088
2016-08-01,0.00636112,0.00638774,0.00624614,0.00634586,271.5569569
2016-08-02,0.00669254,0.006999999999999999,0.00612069,0.00636112,776.8218642
2016-08-03,0.00660822,0.00678,0.00650656,0.00669291,407.7319506
2016-08-04,0.00649425,0.00665999,0.00645034,0.00660785,196.0243163
2016-08-05,0.00647011,0.00656,0.00644351,0.00649425,90.95342158
2016-08-06,0.00642052,0.00654665,0.00635806,0.00647011,75.66168891
2016-08-07,0.00638306,0.006492,0.00630261,0.00642495,118.122545
2016-08-08,0.00641639,0.00646,0.006229999999999999,0.00638306,107.7714739
2016-08-09,0.00636877,0.0064298,0.006154,0.00641314,512.2413649
2016-08-10,0.0063254,0.00642,0.00626573,0.00637112,135.8900626
2016-08-11,0.00635518,0.00636135,0.00574704,0.00633144,512.1868326
